Parameter,Estimate,se
log_srv_slx_pars,1.8412267930503654,NA
log_srv_slx_pars.1,0.6824430784484227,NA
log_srv_slx_pars.2,0.11400055142865129,NA
log_srv_slx_pars.3,-0.8053857509797555,NA
log_srv_slx_pars.4,0.6862879963128481,NA
log_srv_slx_pars.5,3.007002648222068,NA
log_srv_slx_pars.6,0.9571713049984767,NA
log_srv_slx_pars.7,0.4647751536457182,NA
log_srv_slx_pars.8,0.032447645468255834,NA
log_srv_slx_pars.9,0.16477872990347495,NA
log_srv_slx_pars.10,1.0984774195199307,NA
log_srv_slx_pars.11,3.9989410196035884,NA
fsh_logq,-29.19395202643353,NA
fsh_logq.1,-29.242722968482493,NA
fsh_logq.2,-29.554173539834913,NA
srv_logq,-29.090964970318048,NA
srv_logq.1,-29.58067609744002,NA
srv_logq.2,-30,NA
log_rbar,25.330556492712464,NA
log_rinit,24.34393390434076,NA
log_Fbar,-15.28136113772949,NA
log_spr_Fxx,-2.06350651508661,NA
log_spr_Fxx.1,-2.259286626440881,NA
log_spr_Fxx.2,-2.6344462786272485,NA
log_spr_Fxx.3,-3.0149566894670508,NA
log_spr_Fxx.4,-3.435788646036667,NA
log_tau_fsh,2.708044015028679,NA
pred_rec,342065976724.73236,NA
pred_rec.1,409962804568.3087,NA
pred_rec.2,465102555599.89026,NA
pred_rec.3,394429657309.40063,NA
pred_rec.4,242202650370.41962,NA
pred_rec.5,189269409811.04404,NA
pred_rec.6,152533111001.32773,NA
pred_rec.7,129260848772.53761,NA
pred_rec.8,112611754164.59662,NA
pred_rec.9,102890210364.411,NA
pred_rec.10,94937400847.44423,NA
pred_rec.11,89720863633.0111,NA
pred_rec.12,85734683355.28772,NA
pred_rec.13,82172451719.94276,NA
pred_rec.14,79588773599.2121,NA
pred_rec.15,80932588195.4096,NA
pred_rec.16,88197132947.84848,NA
pred_rec.17,100046034077.3932,NA
pred_rec.18,109413777860.83168,NA
pred_rec.19,124910235447.61804,NA
pred_rec.20,175481367997.57413,NA
pred_rec.21,207479198073.0585,NA
pred_rec.22,230474720532.67117,NA
pred_rec.23,425738897606.81915,NA
pred_rec.24,477146333692.4715,NA
pred_rec.25,217825433457.88065,NA
pred_rec.26,310021513690.3014,NA
pred_rec.27,219850303866.33478,NA
pred_rec.28,188167190099.8082,NA
pred_rec.29,132573833596.81638,NA
pred_rec.30,235009235869.82056,NA
pred_rec.31,160294601263.89893,NA
pred_rec.32,130023193308.65878,NA
pred_rec.33,136170512729.54875,NA
pred_rec.34,481346480525.29565,NA
pred_rec.35,132329709726.84232,NA
pred_rec.36,68468756827.51392,NA
pred_rec.37,85291182781.7743,NA
pred_rec.38,125122754682.11592,NA
pred_rec.39,153331446293.19077,NA
pred_rec.40,752283749788.1119,NA
pred_rec.41,393151094993.8228,NA
pred_rec.42,185144722525.22552,NA
pred_rec.43,2235576417882.3228,NA
pred_rec.44,372688018581.5259,NA
pred_rec.45,787641535729.806,NA
pred_rec.46,174168622555.17816,NA
pred_rec.47,1286828381548.248,NA
pred_rec.48,867099280113.3475,NA
pred_rec.49,187759571596.84406,NA
pred_rec.50,199459072299.60968,NA
