Parameter,Estimate,SE,Sex,Source,Years,Region,Function,n,Notes
a,1.1148659095098327e-5,5.596223695334943e-7,Male,ADFG longline survey,1997-2021,Chatham Strait,Allometric - NLS,6701,seak_sablefish/code/biological.r
b,2.992561090976067,0.011982467080455228,Male,ADFG longline survey,1997-2021,Chatham Strait,Allometric - NLS,6701,seak_sablefish/code/biological.r
a,7.877957137950497e-6,2.4352665261543433e-7,Female,ADFG longline survey,1997-2021,Chatham Strait,Allometric - NLS,8009,seak_sablefish/code/biological.r
b,3.0736639342591845,0.007115067266570794,Female,ADFG longline survey,1997-2021,Chatham Strait,Allometric - NLS,8009,seak_sablefish/code/biological.r
a,8.602094439432111e-6,1.8735904552955688e-7,Combined,ADFG longline survey,1997-2021,Chatham Strait,Allometric - NLS,14710,seak_sablefish/code/biological.r
b,3.053709221176806,0.0050655384108668966,Combined,ADFG longline survey,1997-2021,Chatham Strait,Allometric - NLS,14710,seak_sablefish/code/biological.r
l_inf,85.15334954524138,0.3788536950039418,Female,ADFG longline survey,1997-2021,Chatham Strait,Length-based LVB,8009,seak_sablefish/code/biological.r
k,0.08643167906307071,0.002480251139704167,Female,ADFG longline survey,1997-2021,Chatham Strait,Length-based LVB,8009,seak_sablefish/code/biological.r
t0,-8.826023936149625,0.32181676293761247,Female,ADFG longline survey,1997-2021,Chatham Strait,Length-based LVB,8009,seak_sablefish/code/biological.r
l_inf,69.0831107203921,0.14592043086591658,Male,ADFG longline survey,1997-2021,Chatham Strait,Length-based LVB,6701,seak_sablefish/code/biological.r
k,0.12383592058051603,0.003571640781087078,Male,ADFG longline survey,1997-2021,Chatham Strait,Length-based LVB,6701,seak_sablefish/code/biological.r
t0,-8.7011294164040809,0.3627545942065946,Male,ADFG longline survey,1997-2021,Chatham Strait,Length-based LVB,6701,seak_sablefish/code/biological.r
l_inf,87.81948257468407,0.323199364132045,Female,EQS longline fishery,1997-2021,Chatham Strait,Length-based LVB,18768,seak_sablefish/code/biological.r
k,0.062269472850558595,0.0016713085032384496,Female,EQS longline fishery,1997-2021,Chatham Strait,Length-based LVB,18768,seak_sablefish/code/biological.r
t0,-15.649562134735243,0.46045907278431,Female,EQS longline fishery,1997-2021,Chatham Strait,Length-based LVB,18768,seak_sablefish/code/biological.r
l_inf,71.03487873726961,0.18867625407898553,Male,EQS longline fishery,1997-2021,Chatham Strait,Length-based LVB,11356,seak_sablefish/code/biological.r
k,0.07019337976453906,0.002857056904860911,Male,EQS longline fishery,1997-2021,Chatham Strait,Length-based LVB,11356,seak_sablefish/code/biological.r
