Parameter,Estimate,se
fsh_logq,-17.71578113190115,0.04305372186951806
fsh_logq,-17.057403258042424,0.027391914485708484
srv_logq,-16.343438143931866,0.026011150022233965
mr_logq,-0.04179345085776171,0.009765949961820229
log_rbar,12.967933230284467,0.07822711052657155
log_rinit,13.193892441537544,0.12020515524797239
log_Fbar,-2.579789149286545,0.35498067547244433
log_spr_Fxx,-1.9888579338686132,0.29250616563192766
log_spr_Fxx,-2.1895153924697355,0.2764906201763902
log_spr_Fxx,-2.569991607169834,0.26565470813466585
log_spr_Fxx,-2.95156411564851,0.27785124569440933
log_spr_Fxx,-3.3689993072144784,0.3185307410411771
