year,spawn_biom,retro
1975,48.420627480278434,retro_0
1976,48.77307895346654,retro_0
1977,49.31536450767493,retro_0
1978,49.925439205290544,retro_0
1979,50.09277364854444,retro_0
1980,49.92982686101018,retro_0
1981,50.23847371011955,retro_0
1982,51.715435177790674,retro_0
1983,55.8517952675106,retro_0
1984,59.53214588601811,retro_0
1985,63.6623309127292,retro_0
1986,64.87172915920173,retro_0
1987,63.34097575767852,retro_0
1988,60.7214610751929,retro_0
1989,57.21113829933815,retro_0
1990,53.63244266423955,retro_0
1991,50.15870974976806,retro_0
1992,46.15323786082921,retro_0
1993,41.77843033309127,retro_0
1994,36.85322361051425,retro_0
1995,32.66675058501917,retro_0
1996,28.761938696460458,retro_0
1997,25.035487576642698,retro_0
1998,21.58246908330658,retro_0
1999,18.719636612793636,retro_0
2000,17.032624757827055,retro_0
2001,15.91741067897261,retro_0
2002,15.530734664446591,retro_0
2003,15.447842935795455,retro_0
2004,15.317775907659104,retro_0
2005,14.943118788783258,retro_0
2006,14.473520771931781,retro_0
2007,13.895547249931978,retro_0
2008,13.446908150839354,retro_0
2009,12.987759382799018,retro_0
2010,12.694431014257827,retro_0
2011,12.443144603440878,retro_0
2012,12.368549245538112,retro_0
2013,12.219565213456637,retro_0
2014,12.081242330100912,retro_0
2015,11.971969647728702,retro_0
2016,11.844789091633071,retro_0
2017,11.936098618978827,retro_0
2018,12.379200319104074,retro_0
2019,13.031345128096195,retro_0
2020,14.070353861865174,retro_0
2021,15.278066315312616,retro_0
1975,48.397242920968004,retro_1
1976,48.78022351832463,retro_1
1977,49.38910868517976,retro_1
1978,50.04137073971579,retro_1
1979,50.220025309814254,retro_1
1980,49.99623390519386,retro_1
1981,50.191397432457556,retro_1
1982,51.55916919576405,retro_1
1983,55.669915042239666,retro_1
1984,59.350973257210896,retro_1
1985,63.53531889657538,retro_1
1986,64.77187247869487,retro_1
1987,63.23864321465365,retro_1
1988,60.60828822386759,retro_1
1989,57.08541828238473,retro_1
1990,53.49976980134402,retro_1
1991,50.02808233030554,retro_1
1992,46.02522497484771,retro_1
1993,41.65277073161576,retro_1
1994,36.728886354378716,retro_1
1995,32.54421411252731,retro_1
1996,28.64153027941163,retro_1
1997,24.918516310829,retro_1
1998,21.469238175159443,retro_1
1999,18.610558393894436,retro_1
2000,16.926031650633476,retro_1
2001,15.811954280931234,retro_1
2002,15.424340281325659,retro_1
2003,15.338921269754309,retro_1
2004,15.205712160604072,retro_1
2005,14.827718844973303,retro_1
2006,14.355734273188395,retro_1
2007,13.775741382997065,retro_1
2008,13.326281790645268,retro_1
2009,12.86815961725804,retro_1
2010,12.57858111434973,retro_1
2011,12.335223790057103,retro_1
2012,12.275178448149411,retro_1
2013,12.144217101306964,retro_1
2014,12.026634701065692,retro_1
2015,11.940844133611138,retro_1
2016,11.835083189810288,retro_1
2017,11.938200009802276,retro_1
2018,12.338450202401797,retro_1
2019,12.813733130680328,retro_1
2020,13.449327527791514,retro_1
1975,48.13793380181544,retro_2
1976,48.51790866788634,retro_2
1977,49.12440963385935,retro_2
1978,49.77500392164118,retro_2
1979,49.95277596603372,retro_2
1980,49.7272680365064,retro_2
1981,49.918979933838585,retro_2
1982,51.27799030933807,retro_2
1983,55.366273048749875,retro_2
1984,59.02491534487843,retro_2
1985,63.183512389306784,retro_2
1986,64.4041485511416,retro_2
1987,62.86490153406231,retro_2
1988,60.23413407781836,retro_2
1989,56.71513926060361,retro_2
1990,53.135623293611935,retro_2
1991,49.67075925574388,retro_2
1992,45.676100468066366,retro_2
1993,41.31185311507014,retro_2
1994,36.39661101215747,retro_2
1995,32.220403939334275,retro_2
1996,28.326558031757838,retro_2
1997,24.612594146641953,retro_2
1998,21.171792971935407,retro_2
1999,18.320918814512424,retro_2
2000,16.640232085244126,retro_2
2001,15.527602344196561,retro_2
2002,15.137790931859984,retro_2
2003,15.048431449019285,retro_2
2004,14.910526391210626,retro_2
2005,14.530273205733781,retro_2
2006,14.055875048441818,retro_2
2007,13.476146450626441,retro_2
2008,13.026839818520916,retro_2
2009,12.570517186616451,retro_2
2010,12.284499054440996,retro_2
2011,12.046494250822205,retro_2
2012,11.994395149111982,retro_2
2013,11.872135242971806,retro_2
2014,11.76389117707752,retro_2
2015,11.690530573769484,retro_2
2016,11.604524755457495,retro_2
2017,11.741391203523774,retro_2
2018,12.211276238798737,retro_2
2019,12.75717288792566,retro_2
1975,47.972511756131496,retro_3
1976,48.34560033799463,retro_3
1977,48.93821410141544,retro_3
1978,49.57911497053997,retro_3
1979,49.7524600172253,retro_3
1980,49.53445849592517,retro_3
1981,49.7416012709041,retro_3
1982,51.11072649477831,retro_3
1983,55.182410749952645,retro_3
1984,58.819468998636964,retro_3
1985,62.943734297067294,retro_3
1986,64.14287802203081,retro_3
1987,62.59564677362818,retro_3
1988,59.9632132071407,retro_3
1989,56.446692647459635,retro_3
1990,52.870582554232534,retro_3
1991,49.40748289252944,retro_3
1992,45.41484854429021,retro_3
1993,41.05329729481799,retro_3
1994,36.14180251502405,retro_3
1995,31.97068283264962,retro_3
1996,28.082842560033303,retro_3
1997,24.3752551726654,retro_3
1998,20.940270151570346,retro_3
1999,18.093745027249952,retro_3
2000,16.415326485525245,retro_3
2001,15.300702522475799,retro_3
2002,14.907071516320713,retro_3
2003,14.809243972855082,retro_3
2004,14.66333278655812,retro_3
2005,14.273521421139584,retro_3
2006,13.791635234660852,retro_3
2007,13.204633165325058,retro_3
2008,12.750163494013291,retro_3
2009,12.289859492001705,retro_3
2010,12.002752173382481,retro_3
2011,11.766312812622841,retro_3
2012,11.718063977864968,retro_3
2013,11.604166132745972,retro_3
2014,11.503900152381117,retro_3
2015,11.438508981832062,retro_3
2016,11.362448230483835,retro_3
2017,11.519860603254548,retro_3
2018,12.06959928767539,retro_3
1975,47.885441998328744,retro_4
1976,48.242639163335895,retro_4
1977,48.801280915106304,retro_4
1978,49.42024717286437,retro_4
1979,49.58667576393911,retro_4
1980,49.396967874340866,retro_4
1981,49.65776851211458,retro_4
1982,51.07646521416108,retro_4
1983,55.151193022522015,retro_4
1984,58.77826089313513,retro_4
1985,62.86482773744908,retro_4
1986,64.04361517039152,retro_4
