Parameter,Estimate,se
fsh_logq,-17.695578432204943,0.04423433333818599
fsh_logq,-17.125980897101467,0.030568012481507187
srv_logq,-16.389368124199315,0.029027580115370728
mr_logq,-0.03234919500754778,0.009816301147880605
log_rbar,13.082278079024405,0.08234102383868253
log_rec_devs,0.7984063775730744,0.3923000981739352
log_rec_devs,0.8346106624687161,0.4001624616164468
log_rec_devs,0.8661882273061349,0.40841542479160275
log_rec_devs,0.9039984637226934,0.41961457795618823
log_rec_devs,3.6310494385847543,0.16271677631033066
log_rec_devs,0.9077267382709179,0.420420404973089
log_rec_devs,0.9212698080846321,0.41922273896502
log_rec_devs,0.9338180964102859,0.4157492613366434
log_rec_devs,0.8947208167793894,0.40042908545435074
log_rec_devs,0.862387105211686,0.38815086734715554
log_rec_devs,0.7789674842392947,0.36996933389297054
log_rec_devs,0.666962491629398,0.3507340346921506
log_rec_devs,0.5074152070993367,0.32967404956299445
log_rec_devs,0.29686277110030157,0.30801891740505527
log_rec_devs,0.1044526031580839,0.29117022068986
log_rec_devs,-0.05098311973257729,0.27893888778411546
log_rec_devs,-0.1464608827233039,0.2704528324392812
log_rec_devs,-0.1880023325422989,0.26475200074611954
log_rec_devs,-0.13368626514817927,0.2642478728011116
log_rec_devs,0.11272806510514963,0.2694744432533039
log_rec_devs,0.3820947210605532,0.2719718175766042
log_rec_devs,0.5503581449166243,0.2869775035714487
log_rec_devs,0.9160349485214248,0.2860264630755835
log_rec_devs,1.1588250737642216,0.26093198799486716
log_rec_devs,0.7764456591781718,0.2838919115222947
log_rec_devs,0.3758520988985521,0.27938388677596326
log_rec_devs,0.49139655908661684,0.27392332405798847
log_rec_devs,0.8251225353045228,0.23512070403059163
log_rec_devs,0.3279567875162167,0.2715431453907229
log_rec_devs,0.21958123825758977,0.26320772930058806
log_rec_devs,0.3607878415196698,0.2638156831485984
log_rec_devs,0.42494372677503767,0.29140996954834836
log_rec_devs,0.8192345621957698,0.38654403487652483
log_rec_devs,2.7382740193313997,0.3444684581207819
log_rec_devs,1.0510632367057144,0.46230127088046
log_rec_devs,0.9185006925061804,0.4195487486410121
log_rec_devs,0.8011793447602684,0.3931294224373522
log_rinit,13.159644629151483,0.12315977415776319
log_rinit_devs,0.7552087182266631,0.38295004193058363
log_rinit_devs,0.7504343394745021,0.3824929262169927
log_rinit_devs,0.7467573425541016,0.3821874512181557
log_rinit_devs,0.7437174704675834,0.3818503412558899
log_rinit_devs,0.7399500996013574,0.38128154848864565
log_rinit_devs,0.7350522105875691,0.3804612002218037
log_rinit_devs,0.7302960984682685,0.37964955779990217
log_rinit_devs,0.7239438081248071,0.37859355956941226
log_rinit_devs,0.7193873622143584,0.37782745670011747
log_rinit_devs,0.7162566273020329,0.3772943233463477
log_rinit_devs,0.7140193151472888,0.3769075266235134
log_rinit_devs,0.7123760025017793,0.3766184619954996
log_rinit_devs,0.7112307111115133,0.3764128621430578
log_rinit_devs,0.7105480061805927,0.3762862584168405
log_rinit_devs,0.7101716258166115,0.3762127220741414
log_rinit_devs,0.7101337523120185,0.3761987666352787
log_rinit_devs,0.7102546740639095,0.3762134326342088
log_rinit_devs,0.7105102383200965,0.37625277072470764
log_rinit_devs,0.710872334408217,0.3763120354452419
log_rinit_devs,0.7112799011913419,0.3763803651234704
log_rinit_devs,0.7117966541230115,0.37646930984143334
log_rinit_devs,0.7123071663508135,0.3765580470802521
log_rinit_devs,0.7128060497857883,0.37664550208587366
log_rinit_devs,0.7132829498240463,0.37672965350261733
log_rinit_devs,0.7138956823827576,0.3768393686013953
log_rinit_devs,0.7144521052681257,0.3769395159233174
log_rinit_devs,0.714958588902058,0.37703110493280406
log_rinit_devs,0.7154246835378403,0.37711575213988363
log_Fbar,-2.55793429386112,0.369305877458761
log_F_devs,-0.7484357636055646,0.38016504094718123
log_F_devs,-0.7384891529056424,0.38001892327410813
log_F_devs,-1.2734046496415345,0.37967020290137377
log_F_devs,-0.9170948552110695,0.37901619752482524
log_F_devs,-0.48172795535596546,0.3783082658402917
log_F_devs,-0.7785304443973657,0.3775259174858379
log_F_devs,-1.0384375807006305,0.37637296615226684
log_F_devs,-0.9877058174662986,0.37394726259304933
log_F_devs,-0.7593179616496656,0.37225517670184954
log_F_devs,-0.9527159200342697,0.37185951523955213
log_F_devs,-0.5998676988579201,0.37206529612274053
log_F_devs,-0.274955783936565,0.3720421859414266
log_F_devs,-0.32130239420972667,0.3719932698519735
log_F_devs,-0.22447325107148133,0.3719141438819092
log_F_devs,-0.2825053809476402,0.37177427932689583
log_F_devs,-0.35128943864515066,0.37168029013539805
log_F_devs,-0.11220914324081253,0.37160749810084887
log_F_devs,0.05202775374309529,0.3715904900412288
log_F_devs,0.4782597861177708,0.3715716674156258
log_F_devs,0.4175522137847987,0.37167058542469134
log_F_devs,0.5367473631200158,0.37172875811960593
log_F_devs,0.7130326263142385,0.37172620003692614
log_F_devs,0.8956955641982631,0.3717217520246628
log_F_devs,1.0623762649979822,0.37172793900477175
log_F_devs,0.8157656211214576,0.3719274214278972
log_F_devs,0.9469470592366034,0.3719967583568173
log_F_devs,0.7039258712879909,0.3721971294266795
log_F_devs,0.6438888696807366,0.3722689640004725
log_F_devs,0.6236234484935802,0.3722614055628971
log_F_devs,0.7276842659102866,0.37227046634326494
log_F_devs,0.6780341967021855,0.37232841849253173
log_F_devs,0.6666777488609763,0.37227281670775636
