year,catch,sigma_catch,ln_catch,upper_catch,lower_catch,fsh_cpue,sigma_fsh_cpue,ln_fsh_cpue,upper_fsh_cpue,lower_fsh_cpue,srv_cpue,sigma_srv_cpue,ln_srv_cpue,std,upper_srv_cpue,lower_srv_cpue,mr,sigma_mr,ln_mr,upper_mr,lower_mr,index
1980,189.68537052,0.05,5.245366754937096,292.4522104929235,123.03049352461743,0.326177342234128,0.2,-1.1203140509436285,0.7532100540165985,0.14125098041319414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1981,67.366123064,0.05,4.210142266396687,103.86342156169528,43.693867084653,0.444353815566616,0.2,-0.811134151984928,1.0261036500357923,0.1924272595675133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1982,116.60444184800001,0.05,4.758787367942092,179.77784305798954,75.62998658459743,0.562530288445512,0.2,-0.5753103002278578,1.2989972450075493,0.2436035385254046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1983,106.83724531200001,0.05,4.671306604607231,164.71902112859442,69.29495396251492,0.690074791457304,0.2,-0.37095529384859127,1.5935235335137423,0.2988366395536103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
1984,214.429721304,0.05,5.367982045074097,330.6024382313885,139.07975278249359,0.591596480134824,0.2,-0.5249304979014882,1.3661170138498895,0.25619064235325467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
1985,1405.0751781755998,0.05,7.247846087934658,2166.31014104942,911.3359250438725,0.85254152035716,0.2,-0.15953336677920502,1.9686923690079108,0.3691927979073592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
1986,1895.812257968,0.05,7.547402657853086,2922.916427357606,1229.629449484771,0.716919024179296,0.2,-0.33279238174880815,1.6555123456123229,0.310461524852049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
1987,1792.032222736,0.05,7.491105574810712,2762.9109370795272,1162.317411041359,0.773099481433632,0.2,-0.2573475434182767,1.7852444874998539,0.3347904516036208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
1988,1927.20766453536,0.05,7.563827428324385,2971.3210883221186,1249.992603236689,0.7164432628702959,0.2,-0.33345622135275227,1.6544137156498722,0.3102554965887777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
1989,1718.52694514024,0.05,7.449222775620118,2649.582318974476,1114.641670131667,0.524298396324416,0.2,-0.6456942981067524,1.210712003204894,0.22704723143133304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
1990,1517.48047847584,0.05,7.324806658584575,2339.6138515770585,984.2423359748259,0.635858603019168,0.2,-0.452779062656186,1.4683272892180532,0.2753583387044474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
1991,1809.02289908752,0.05,7.500542143738351,2789.1067414430895,1173.3376140813407,0.574774338158864,0.2,-0.5537777705914411,1.3272712547312415,0.24890581983775106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
1992,1961.55144178232,0.05,7.581490991042308,3024.271474242846,1272.2680789500234,0.6660737400693361,0.2,-0.40635489374601713,1.5381002073913217,0.28844299290642994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
1993,2646.01438076864,0.05,7.880809779568915,4079.5594964992943,1716.2127698449822,0.719987301450504,0.2,-0.3285217040018675,1.6625976240481426,0.31179024121772025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
