Year Landed,Whole Pounds,Permit Count,CFEC Value
1987,3861546,158,3393051
1988,4196601,149,4440742
1989,3767518,151,3536524
1990,3254262,120,3056335
1991,3955189,127,5548053
1992,4267781,115,5400361
1993,5795974,120,6589916
1994,4708584,121,8056003
1995,4543272,121,8973014
1996,4676032,122,10099526
1997,4752285,122,12205269
1998,4689713,116,7404191
1999,3043272,112,6540456
2000,3081797,111,8590922
2001,2142619,111,4584488
2002,2009379,109,5250863
2003,2003083,108,4782621
2004,2230396,108,4581195
2005,2027187,106,5035637
2006,2031227,105,5070276
2007,1501483,103,3728517
2008,1513043,96,4379712
2009,1069217,88,3305811
2010,1054279,87,3808392
2011,882777,83,4363255
2012,969775,79,3871100
2013,972740,78,2644856
2014,773534,78,2695661
2015,781702,78,3074607
2016,646329,78,2770998
2017,714404,78,3633326
2018,855600,78,4163237
2019,909341,78,3950856
2020,1101091,75,3097794
