Parameter,Estimate,se
fsh_logq,-17.94188226446749,0.0335160085598276
fsh_logq.1,-17.293617307375868,0.020538947465754062
srv_logq,-16.86885242128423,0.013580047342737126
mr_logq,-0.1164735825992296,0.009357725215498505
log_rbar,12.962323592104987,0.12078166398274501
log_rec_devs,1.021536858580242,0.8334072942395636
log_rec_devs.1,1.2432308844715576,0.9752667206762528
log_rec_devs.2,1.4004562766168416,1.1113224400932489
log_rec_devs.3,1.3221169464515863,1.0569692730501055
log_rec_devs.4,1.0883057991574543,0.8855853460923556
log_rec_devs.5,3.7149285724145638,0.21715750448508628
log_rec_devs.6,0.7632212211585357,0.7203370740053077
log_rec_devs.7,0.6836724638948619,0.67814306486524
log_rec_devs.8,0.6637094577455175,0.6522047622272334
log_rec_devs.9,0.712555772543549,0.6421019990245878
log_rec_devs.10,0.8008532512126483,0.6398181798938866
log_rec_devs.11,0.851374817023828,0.6260713822300132
log_rec_devs.12,0.7519298569716374,0.5884881222521574
log_rec_devs.13,0.47241546665427336,0.5435645579140539
log_rec_devs.14,0.1928019691622855,0.5095904841118943
log_rec_devs.15,0.09956664761141595,0.49066910841817385
log_rec_devs.16,0.2476854572399238,0.4731143156208078
log_rec_devs.17,0.41884061947154416,0.4368068699592627
log_rec_devs.18,0.272298503078638,0.4306896483777407
log_rec_devs.19,0.042636608675337,0.4395527060055529
log_rec_devs.20,0.27663414750915377,0.4053283361456083
log_rec_devs.21,0.7520088847724614,0.33042395904902694
log_rec_devs.22,0.7007001722974412,0.3824877550278491
log_rec_devs.23,1.4720888113862631,0.2376296612012307
log_rec_devs.24,1.0391082722233105,0.33488676510121
log_rec_devs.25,1.0649815984076436,0.31038718279078803
log_rec_devs.26,0.8671404493228587,0.32762103806084963
log_rec_devs.27,0.3924970063459805,0.4100850707902522
log_rec_devs.28,0.38180255194348744,0.3740977221919032
log_rec_devs.29,0.4288990174278891,0.348815315850923
log_rec_devs.30,0.37154336371478824,0.34213034294844424
log_rec_devs.31,0.33789142454261856,0.3365207600105637
log_rec_devs.32,0.17212484660491154,0.3501812258940991
log_rec_devs.33,-0.07792273537988444,0.412039807634232
log_rec_devs.34,1.0481837793494142,0.20294668034767996
log_rec_devs.35,0.39214790855793585,0.2787649427084162
log_rec_devs.36,-0.5563290548821028,0.40985268730891156
log_rec_devs.37,-0.15910924329028805,0.33727192400353523
log_rec_devs.38,0.19670022212097193,0.3131573390755493
log_rec_devs.39,0.47322987136010713,0.3117965808543424
log_rec_devs.40,1.48129876252635,0.19347084819494856
log_rec_devs.41,0.8775248928201744,0.3279587684123943
log_rec_devs.42,1.255396273654584,0.28496730762176925
log_rec_devs.43,1.799489678647049,0.22729620150391355
log_rec_devs.44,0.49815962011455167,0.587601751505734
log_rec_devs.45,0.869672027765014,0.688567361028443
log_rinit,13.626724474436573,0.16974985497959735
log_rinit_devs,1.35771493999462,0.901971691352086
log_rinit_devs.1,1.0733635800394175,0.8357756146069464
log_rinit_devs.2,0.9240391778097051,0.7789502928924629
log_rinit_devs.3,0.9315029887075189,0.7839569908849585
log_rinit_devs.4,0.9183294526196565,0.7772691135969724
log_rinit_devs.5,0.8860433193111172,0.7620973788519185
log_rinit_devs.6,0.8434216049490967,0.7449933795657457
log_rinit_devs.7,0.7666707115296332,0.7199219499545624
log_rinit_devs.8,0.7050795619340215,0.7006909752644264
log_rinit_devs.9,0.6737135121361618,0.6912858741099106
log_rinit_devs.10,0.6446461440452987,0.6826936225677787
log_rinit_devs.11,0.6300097323823648,0.6784090862144976
log_rinit_devs.12,0.6148234742729203,0.6739803552424178
log_rinit_devs.13,0.611496523554855,0.6729575188948232
log_rinit_devs.14,0.609810386222536,0.6723995645995234
log_rinit_devs.15,0.6090516674751273,0.6721071132907994
log_rinit_devs.16,0.6076367622600682,0.6716269428888838
log_rinit_devs.17,0.6113240990522202,0.67262711806719
log_rinit_devs.18,0.6157588683996529,0.6738613612410771
log_rinit_devs.19,0.620406724286821,0.6751767427766207
