Likelihood component,Likelihood,Percent of data likelihood
Catch,6.314834660888656,0.32294126841898857
Fishery CPUE,278.3385447375914,14.234260675766262
Survey CPUE,263.37903125325397,13.469229678282781
Mark-recapture abundance,198.44064490200958,10.14827418482541
Fishery ages,345.94291434235583,17.691554816188997
Survey ages,684.0421624059254,34.98198376398194
Fishery lengths,75.19467447303873,3.84546308125489
Survey lengths,103.7599194472474,5.30629253128073
Data likelihood,1955.412726222311,100
Fishing mortality penalty,1.715324061315247,0.08772184195758535
Recruitment likelihood,21.817685578834876,1.1157585959351286
SPR penalty,4.428209061699929e-25,2.264590488911693e-26
Sum of catchability priors,43.944775762148346,2.247340173910286
Total likelihood,2022.8905116246094,103.450820611803
