year,N_current,q025,q975,abundance_age2plus,abc_round_lbs,biomass_round_lbs_age4plus,harvest_policy,notes,source
2005,1742069.744559667,1480684.6698184707,2049356.194979157,1948450,2255115,18612498,F_40%,NA,"abundance from Dressel FDS 09-50 2012; abc and biomass from Dressel's 1997-2010 chatham forecast summary matrix 11-29-11; Dressel 2009 Fishery Data Series No. 09-50 Table 2
"
2006,2188951.0576519137,1778257.733591718,2698747.97214395,2427828,1340350,13330466,F_40%,NA,"abundance from Dressel FDS 09-50 2012; abc and biomass from Dressel's 1997-2010 chatham forecast summary matrix 11-29-11; Dressel 2009 Fishery Data Series No. 09-50 Table 2 
"
2007,2745599.7228826582,2200285.6770008267,3432518.083141644,2333684,1623219,16750915,F_40%,"abundance not reported for 2007-2009, Sullivan ineterpolated at equal intervals",abc and biomass from Dressel's 1997-2010 chatham forecast summary matrix 11-29-11
2008,1773506.3787959272,1489141.0502957348,2122788.296083476,1939648,1623219,16750915,F_40%,"abundance not reported for 2007-2009, Sullivan ineterpolated at equal intervals; no forecast conducted for 2008, Dressel assumed biomass values equal to previous year",abc and biomass from Dressel's 1997-2010 chatham forecast summary matrix 11-29-11
2009,2486433.501281131,2028926.5488361863,3055305.7752542645,2145395,1290868,13775900,F_45%,"abundance not reported for 2007-2009, Sullivan ineterpolated at equal intervals",abc and biomass from Dressel's 1997-2010 chatham forecast summary matrix 11-29-11
2010,2195655.334142948,1840076.5419508144,2625322.649266215,2051250,1250961,17133162,F_50%,NA,2013 NSEI Memo Van Kirk
2012,1854465.6105902346,1553648.6156602723,2215430.4169130847,1967917,1160674,17018748,F_50%,NA,2013 NSEI Memo Van Kirk
2013,2011135.8047344037,1688661.0098060314,2405100.6996837887,1905712,1049391,1049391,F_50%,"Kirk started using survey weight-at-age to apportion biomass , selected for mgt",2013 NSEI Memo Van Kirk
2015,1888346.3464455947,1553638.6973217218,2302786.7328575477,1766525,986481,15212730,F_50%,NA,2015 NSEI assessment Van Kirk
2017,2062131.283787999,1671866.5281837736,2543550.1843515094,1927382,850113,16265597,F_50%,"hindcast, not used for mgt",2018 NSEI assessment Sullivan (ABC from 2017 NSEI assessment Van Kirk)
2018,3013030.365627466,2451726.184930651,3695778.4814039534,2702393,965354,18991517,F_50%,estimate,2019 NSEI forecast Sullivan
2019,3145173.4337435556,2522953.7085210043,3895563.3684022194,2484601,1058037,20131204,F_50%,forecast,2019 NSEI forecast Sullivan
