Parameter,Estimate,SE,Sex,Survey,Years,Region,Function,n,Source
a,1.0984026584116964e-5,6.011419960619126e-7,Male,ADFG Longline,1997-2019,Chatham Strait,Allometric - NLS,6542,seak_sablefish/code/biological.r
b,2.9968482536339294,0.013052016001637523,Male,ADFG Longline,1997-2019,Chatham Strait,Allometric - NLS,6542,seak_sablefish/code/biological.r
a,8.066571276631019e-6,2.7716498239396164e-7,Female,ADFG Longline,1997-2019,Chatham Strait,Allometric - NLS,7625,seak_sablefish/code/biological.r
b,3.0687612623507667,0.007900903359626081,Female,ADFG Longline,1997-2019,Chatham Strait,Allometric - NLS,7625,seak_sablefish/code/biological.r
a,8.765962259693268e-6,2.0983635479376708e-7,Combined,ADFG Longline,1997-2019,Chatham Strait,Allometric - NLS,NA,seak_sablefish/code/biological.r
b,3.0499213671176935,0.005562613010131283,Combined,ADFG Longline,1997-2019,Chatham Strait,Allometric - NLS,NA,seak_sablefish/code/biological.r
l_inf,84.70431402215863,0.3839006219806151,Female,ADF&G Longline,1997-2019,Chatham Strait,Length-based LVB,7415,seak_sablefish/code/biological.r
k,0.08982632942366078,0.00274946885734576,Female,ADF&G Longline,1997-2019,Chatham Strait,Length-based LVB,7415,seak_sablefish/code/biological.r
t0,-8.440512532707453,0.34031510661748055,Female,ADF&G Longline,1997-2019,Chatham Strait,Length-based LVB,7415,seak_sablefish/code/biological.r
sigma,6.342512447224715,0.052082610591284696,Female,ADF&G Longline,1997-2019,Chatham Strait,Length-based LVB,7415,seak_sablefish/code/biological.r
l_inf,69.0538679024752,0.1542676640706408,Male,ADF&G Longline,1997-2019,Chatham Strait,Length-based LVB,6364,seak_sablefish/code/biological.r
k,0.12634924742391307,0.004176541104843232,Male,ADF&G Longline,1997-2019,Chatham Strait,Length-based LVB,6364,seak_sablefish/code/biological.r
t0,-8.460965844710952,0.4130682687326603,Male,ADF&G Longline,1997-2019,Chatham Strait,Length-based LVB,6364,seak_sablefish/code/biological.r
sigma,4.195661577093422,0.037189490473286124,Male,ADF&G Longline,1997-2019,Chatham Strait,Length-based LVB,6364,seak_sablefish/code/biological.r
w_inf,6.305784030444064,0.09014011014012575,Female,ADFG Longline,1997-2019,Chatham Strait,Weight-based LVB,7348,seak_sablefish/code/biological.r
