Likelihood component,Likelihood,Percent of data likelihood
Catch,6.311876157579684,0.3225747357525543
Fishery CPUE,279.4639685173682,14.282285258178739
Survey CPUE,262.85665338211385,13.433551829706616
Mark-recapture abundance,198.42896645075825,10.14091053444401
Fishery ages,346.3247119035459,17.699270333862767
Survey ages,684.3799208746404,34.975919460236035
Fishery lengths,75.19081576435565,3.8427017451981453
Survey lengths,103.76054123331676,5.302786102621123
Data likelihood,1956.7174542836788,100
Fishing mortality penalty,1.7156571966836265,0.0876803747484176
Recruitment likelihood,21.80004486814573,1.1141130683135014
SPR penalty,4.8933719878199787e-26,2.50080663261184e-27
Sum of catchability priors,43.98842271885567,2.2480722815936183
Total likelihood,2024.2215790673638,103.44986572465554
