year,mean,median,q025,q975
1980,190.1966759667947,190.01998348074886,171.7027425034275,209.3808758320211
1981,67.48553041814286,67.3783192522402,61.20145834218374,74.12606644069909
1982,116.933511512813,116.71251534534707,106.04237517934484,128.72637330640129
1983,107.10444509801867,106.96270484490815,96.54600964095714,118.2325929699574
1984,214.8188569647956,214.61446246009444,193.62999423031897,237.5926885845362
1985,1400.5639027166428,1398.3453764527087,1269.3281960047275,1545.8744852973516
1986,1886.8945549774096,1884.9321527911866,1707.0426673761976,2081.7692025778156
1987,1779.8543399635744,1777.40064498571,1609.8125666405913,1957.9813965728551
1988,1914.973927771302,1912.5357260309534,1730.563942406959,2115.922320693782
1989,1704.6880946525976,1701.3486963870491,1542.7250117488497,1881.644109157555
1990,1503.6866688698658,1501.0857794209187,1362.9130760363948,1655.5635743154478
1991,1788.1166510673888,1786.5698317887845,1618.4761050515688,1966.4015864506828
1992,1937.0343601625764,1932.949902451162,1751.6411652429924,2133.752267031327
1993,2623.037378433874,2619.9662631960578,2379.1063285190753,2883.487781436418
1994,2161.965157037016,2158.1494833403794,1960.1275249628045,2383.348992548391
1995,2091.797319469949,2088.573906219052,1893.5960217933493,2305.431617280996
1996,2108.567043469813,2104.737723096089,1907.4993187482985,2323.2421137247206
1997,2076.35632903638,2073.820359583019,1886.1551431580558,2282.3167846968736
1998,1973.2745623326614,1970.7340555680366,1794.2884878760726,2168.920701719206
1999,1289.256727053106,1288.0437708208963,1174.560818215636,1413.258715467708
2000,1290.9841520035507,1289.4343947437246,1176.999300733612,1412.8656882135658
2001,941.7131277597808,940.8736803469191,858.0567776925427,1030.7712134111791
2002,894.8617996234093,893.5556671813839,812.205041174014,982.4044993223268
2003,905.1289854611947,904.5783667526159,824.3459373991057,993.295581050973
2004,1000.0495512367843,998.865436334486,909.9622290472399,1095.7182255245598
2005,924.5438430291767,923.9908462268378,838.6830235818239,1015.7361764848381
2006,902.9887751127729,901.3553707308545,823.1606729426893,990.1954262777599
2007,696.9188243668654,696.4518936103743,630.9357247661244,767.2897131379049
2008,713.3440528994792,712.9440471067278,648.2343673851052,783.3591134988546
2009,524.7502346163645,524.1689743010131,475.46260903469584,578.3736855276694
2010,503.89292714118295,503.0037287931062,456.9403190859093,554.5549439086221
2011,424.6273748485947,424.15288737778786,384.0420411836407,466.6609664403568
2012,482.3189164394663,481.93560924610676,439.1839256529578,529.8527747144134
2013,473.0424574434589,472.7140215354148,429.05298473820335,520.1045705670194
2014,386.0368215626669,385.4171836639921,349.0888368011171,426.2070958738412
2015,385.7869937497016,385.57056973312785,350.02479941482716,424.7230483406184
2016,316.89473453707774,316.46724952079666,287.1321334824719,348.0517457678477
2017,339.23331578185804,338.6518495270393,307.53966022042704,372.5961576098031
2018,398.0064913557769,397.39643107519663,359.82228853380514,439.12373968340285
