Parameter,Estimate,se
fsh_logq,-17.84611727941498,0.04342771867284279
fsh_logq,-17.12175960180554,0.02985876443759522
srv_logq,-16.418157566769445,0.02842778944080432
mr_logq,-0.03991344971613628,0.009808418588139318
log_rbar,13.473851948255476,0.0799955059431701
log_rec_devs,0.2949823463209522,0.38998983996263054
log_rec_devs,0.33429298341639524,0.39724675234739404
log_rec_devs,0.3622028573152619,0.3999234924953793
log_rec_devs,0.35085949623784374,0.391485916124726
log_rec_devs,0.3302504802350819,0.381218114120035
log_rec_devs,0.2711121117750851,0.36522681363894705
log_rec_devs,0.192197303043558,0.34871663797387215
log_rec_devs,0.07221557809163895,0.3295894635485978
log_rec_devs,-0.10692659720320531,0.3076872793668684
log_rec_devs,-0.28407264802903304,0.28982303274541654
log_rec_devs,-0.4250961971640065,0.27761889792155164
log_rec_devs,-0.5091853274090697,0.26936010406228417
log_rec_devs,-0.5238123350628615,0.2630314048431998
log_rec_devs,-0.4631435169029153,0.2628709945492657
log_rec_devs,-0.23903442079517956,0.2699366014433968
log_rec_devs,0.011267840519921038,0.27703637226086447
log_rec_devs,0.21101893658669013,0.2911361274096718
log_rec_devs,0.47693311307965447,0.2999887261130084
log_rec_devs,0.6908485019031395,0.27953361195993776
log_rec_devs,0.46287959254900557,0.28498852267947206
log_rec_devs,-0.0024303647551390207,0.28911559428905753
log_rec_devs,0.29118476574309576,0.27685560263080106
log_rec_devs,0.4132943887607919,0.2595039444763559
log_rec_devs,-0.20507809675161787,0.2747090201133704
log_rec_devs,-0.16531334727100183,0.2678191835201408
log_rec_devs,0.033539950405297864,0.2627054035593289
log_rec_devs,-0.09057981560685377,0.26893721575693796
log_rec_devs,0.010241762225027566,0.2719223232961353
log_rec_devs,0.10814455847063584,0.2559327411999114
log_rec_devs,-0.1938135440413641,0.26048416461595164
log_rec_devs,-0.31419091381923503,0.2626883888506342
log_rec_devs,-0.20591653822002753,0.27980670552351056
log_rec_devs,0.027170231356657998,0.33950062971700706
log_rec_devs,2.426516331901341,0.3246817831653815
log_rec_devs,0.4540003908737706,0.4314241694537297
log_rec_devs,0.3340003072952288,0.3917818591425925
log_rec_devs,0.21214302833686816,0.369710220152092
log_rinit,13.955823395740744,0.11248690843455167
log_rinit_devs,2.7747271955877855,0.18503051418567673
log_rinit_devs,0.26361312721858077,0.3826010044990204
log_rinit_devs,0.15133788778742105,0.35867034954569854
log_rinit_devs,0.0748130566651806,0.3455248989864135
log_rinit_devs,0.016298068370447262,0.3369338675093544
log_rinit_devs,-0.027746333436408702,0.331051028808195
log_rinit_devs,-0.026013206105587362,0.33141216526102424
log_rinit_devs,-0.019996233904143648,0.33234078280774304
log_rinit_devs,-0.012492355181124303,0.33342865559653023
log_rinit_devs,-0.0046877625615422466,0.3345296905399868
log_rinit_devs,0.001355101540931149,0.33535975663596035
log_rinit_devs,0.005256043815012646,0.335881240826999
log_rinit_devs,0.0076624126838463515,0.3362120730662906
log_rinit_devs,0.011056616819065954,0.33668412714955087
log_rinit_devs,0.015328080121164385,0.33728753019272634
log_rinit_devs,0.020142530048829176,0.33797689168467465
log_rinit_devs,0.02530665139319111,0.33872568637926265
log_rinit_devs,0.030755489869804323,0.33952591020795425
log_rinit_devs,0.03633709156490539,0.340355931234984
log_rinit_devs,0.04193565217689504,0.34119872786871386
log_rinit_devs,0.04757929652563938,0.3420593680149089
log_rinit_devs,0.05305946161966518,0.34290477354468346
log_rinit_devs,0.05831395836153903,0.3437242363261761
log_rinit_devs,0.0633532674710219,0.34451867492260857
