Parameter,Estimate,se
fsh_logq,-17.856531623936107,0.043697386115476265
fsh_logq,-17.152503700478913,0.028277827170607544
srv_logq,-16.460590991729187,0.02665472389870899
mr_logq,-0.03971787658798745,0.009799024320502612
log_rbar,13.465734786084294,0.07862957250078301
log_rinit,13.943098500465902,0.11143584004291475
log_sigma_r,-0.6459448187776468,0.0804080874262546
log_Fbar,-2.8000318561415356,0.35884479953991905
log_spr_Fxx,-2.0052039694129022,0.2900566912740174
log_spr_Fxx,-2.204424395194921,0.27482411070834
log_spr_Fxx,-2.58330333783288,0.26498028140900826
log_spr_Fxx,-2.96446024765665,0.2779323848229249
log_spr_Fxx,-3.3826365088369434,0.3195757471456018
