Parameter,Estimate,se
fsh_logq,-17.68112977936809,0.03878505410275254
fsh_logq,-16.92604407191464,0.023285085957394754
srv_logq,-16.288093286671668,0.02264966776667246
mr_logq,-0.039403624115098,0.009663406411086851
log_rbar,12.79320633606759,0.09220243200756643
log_rinit,13.199133692427653,0.11972833117338438
log_Fbar,-2.642861628536115,0.35856750385417013
log_spr_Fxx,-2.0073701754007263,0.2882718445995385
log_spr_Fxx,-2.2054198530323212,0.27327310146093986
log_spr_Fxx,-2.5822304620063306,0.26354313724090245
log_spr_Fxx,-2.9612156254806665,0.2762330100357106
log_spr_Fxx,-3.3764832594805787,0.3170256326593843
